type,group_key,source_rows,raw_values,note
shared_phone_different_names,544780461,77;201,MANARA ALSAJAA HAIRDESSING | FAYSAL HOSSAIN GROCERY L.L.CSP,"2 rows with different client names share phone number 544780461 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,506461331,107;108,KOSOVO GROCERY | SEVEN EMIRATES CAFETERIA,"2 rows with different client names share phone number 506461331 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,556209909,117;118,VKM KALARI TRADITIONAL  | VKM KALARI TRADITIONAL BR 1,"2 rows with different client names share phone number 556209909 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,509707788,141;153,OLD CAF - SHJ. BR | OLD CAF - SHJ. BR,"2 rows with different client names share phone number 509707788 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,558784662,146;147,ALSADAF ALAHMAR RES. | MALLAH AL FREEJ CAFETERIA,"2 rows with different client names share phone number 558784662 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,506339920,159;162,GULF ICE FACTORY &COLD STORAGE | GULF ICE FACTORY &COLD STORAGE,"2 rows with different client names share phone number 506339920 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,501182871,167;195,NAEEMA TOWER | NAEEMA TOWER,"2 rows with different client names share phone number 501182871 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,507004939,170;171;172, SAEED ABDULLA MUFTAH ALKHATE | AL ROLLA BUILDING | AL NABBA BUILDING,"3 rows with different client names share phone number 507004939 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,501567710,173;174;175;176;177;178;181;182;183;184;185;186;187;188,NASERIYA BUILDING 1 | SHJ. Alnaseriya /Alsharq    | NASERIYA BUILDING | Industrial 13 Building  | BU TINA BLDG | ALSOOR BUILDING | YARMOOK BLDG | YARMOOK BUILDING | MUWAILAH 3649 BLDG | MUWAILAH 2268 BLDG | MUWAILAH 1601 BLDG | MUWAILAH 2157 BLDG | MAJARAH BUILDING | MAJARAH BUILDING,"14 rows with different client names share phone number 501567710 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,509591419,189;190,DAR ALMARJAN SWEETS | EASY LIFE SUPERMARKET ,"2 rows with different client names share phone number 509591419 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
