account_no,customer_name,alias,customer_group,legacy_codes,contract_numbers,contract_sl_nos,emirate,place_of_supply,district,address,po_box,email,phone,mobile,trn,priority,latitude,longitude,maps_link_coords,location_source,location_status,required_info,notes
11125,MEERA RESTAURANT,,MEERA RESTAURANT GROUP,"014,",,,,,,BACK AL WAHDA CITY CENTRE,71194,,0504606190,,100357190600003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11126,NAVITAS CHEMICALS FZE,,,015,,,Sharjah,Sharjah,Al Hamriyah,Hamriya Free Zone 2,53721,,067641064,,100051771200003,,25.456513,55.513359,"https://www.google.com/maps?q=25.456513,55.513359",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11127,Heirs of Abdullah Mohammed Al Roken,,,016,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11128,NESTO HYPERMARKET SOLE PROPRIETORSHIP LLC-BR 4,NESTO ABU SHAGARA,,,,,Sharjah,Sharjah,Abu Shagara,"New liberty Signal, Abu Shagara",,admin.hygiene@nestogroup.com,,,100247587700003,,25.336248,55.395397,"https://www.google.com/maps?q=25.336248,55.395397",AREA_CENTROID,AREA_APPROX,ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11129,NEW NESTO CENTER SOLE PROPRIETOSHIP LLC,NESTO NPT,,018,,,,,,"Opp. Muweila Fire Station , National Paints",,admin.hygeine@nestogroup.com,,,100247587700003,,,,,NONE,NO_LOCATION,ASK: PHONE/MOBILE; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11131,Marhaba Auctions,,,,,,Dubai,Dubai,,"AL Quoz Industrial area 1, Plot No :  188-0",,info@marhabaauctions.com,,+971526600140,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11132,NASEEM AL BARARI TRADING LLC,,,021,,,Dubai,Dubai,,"Al Dana Centre, Al Murqabat, Deira",22927,info@bararigroup.com,,,104758693600003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11133,AURORA GLAMOUR TRADING CO. L.L.C,,,022,,,Dubai,Dubai,,Dubai Festival City Mall,,,,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11134,Customer,,,,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11135,Liberty Printing Press L.L.C,,,023,,,Ajman,Ajman,Industrial Area 2,"Amman Street , Ajman Industrial 2",,,,,100356505600003,,25.375639,55.471136,"https://www.google.com/maps?q=25.375639,55.471136",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11136,Al Sadaf Al Ahmar Rest LLC Sole Proprietorship,The Bhukkad Cafe,,024,,,,,,Al Zahia City Centre,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11137,Dubai Dates Factory LLC,,,025,1230/26,173,Sharjah,Sharjah,Industrial Area,IND AREA,,,,,10478693600003,,25.302294,55.433374,"https://www.google.com/maps?q=25.302294,55.433374",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE,Location inherited from contract master (SL 173)
11138,Clove Tree Restaurant,,,026,,,Dubai,Dubai,,"Silicone Central Mall, Dubai Silicone Oasis",,,,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11139,Vision Investment,,,027,,,,,,,,,,,100070339500003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11141,Sinaa Automatic Bakery,,,028,1199/26,143,Sharjah,Sharjah,Al Dhaid,Al Dhaid,13385,,,,10006321310003,,25.203441,55.966304,"https://www.google.com/maps?q=25.203441,55.966304",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE,Location inherited from contract master (SL 143)
11142,La Marquise Diamond & Watches LLC Br,,,029,,,,,,Al Zahia City Center,,,,,100285065700003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11143,Al Fardan Exchange LLC,,,030,,,Sharjah,Sharjah,,SHARJAH - ZCC,,,,,100020093900003,,25.3463,55.4209,"https://www.google.com/maps?q=25.346300,55.420900",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11144,Caesars Restaurant,ALSHAAB,CAESAR CONFECTIONARY GROUP,032,,,,,,Al Shaab,5077,,,,,Medium,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11145,Caesars Restaurant & Confectionery,,CAESAR CONFECTIONARY GROUP,"033,",1214/26,157,Sharjah,Sharjah,Al Majaz,Meena Road,5077,,,,,Medium,25.327397,55.387767,"https://www.google.com/maps?q=25.327397,55.387767",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Location inherited from contract master (SL 157)
11146,AL BAMBOO CHINESE RESTAURANT,,,034,1111/26,56,Sharjah,Sharjah,Abu Shagara,Abushagara,,,065599123,,,,25.334129,55.389974,"https://www.google.com/maps?q=25.334129,55.389974",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 56)
11147,NOOR AL QAMAR RESTAURANT,,,035,1198/26,142,Sharjah,Sharjah,Abu Shagara,Abushagara,37841,,0544226364,,,,25.370272,55.40147,"https://www.google.com/maps?q=25.370272,55.401470",CONTRACT_MASTER,UNVERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 142)
11148,BM TOWERS,,,036,,,Sharjah,Sharjah,Al Nahda,Al Nahda,,,,,,,25.301355,55.37487,"https://www.google.com/maps?q=25.301355,55.374870",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11149,Juraina Villa,,,037,,,,,,Juraina,,,,0505042899,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11151,Luqman Pharmacy LLC,,,D038,,,Dubai,Dubai,,Satwa,57213,,,0561278354,100226601100003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,Emirate-level coordinates only — capture exact pin on first visit
11152,Ocean Oilfield Drilling Rigs&marine Engg.Services FZE,Ocean,OCEAN OILFIELD GROUP,"039,",,,,,,SAIF ZONE,8574,acc@oceanoil.ae,+97165572040,,100255901900003,,,,,NONE,NO_LOCATION,ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11153,Haji Pharmacy LLC,,,040,,,Dubai,Dubai,,Satwa,,,,,100226601100003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11154,AL IMAN ENGLISH NURSERY,,,041,1055/25,19,Sharjah,Sharjah,Halwan,AL ABAAR,21022,,065660664,,,,25.341856,55.425645,"https://www.google.com/maps?q=25.341856,55.425645",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 19)
11155,Mohamed Ghafour Shakri,,,,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11156,Hadeqat Udupi Rest. LLC,Saaranga Bhojan,,042,1080/25,32,Sharjah,Sharjah,Al Khan,Al Khan,39073,,0558349160,,100235507900003,,25.314391,55.375385,"https://www.google.com/maps?q=25.314391,55.375385",CONTRACT_MASTER,AREA_APPROX,ASK: EMAIL,Location inherited from contract master (SL 32)
11157,CORE CAFETERIA L.L.C,Core Café,,043,,,Sharjah,Sharjah,Muwaileh,Aljada,,,,,,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11158,"Saga Spa for Men Per Person Company LLC, Br. 1",Saga Spa ~ Halwan,,045,1136/26,80,Sharjah,Sharjah,Halwan,Halwan,,,,+971561289289,100248811000003,,25.307659,55.458394,"https://www.google.com/maps?q=25.307659,55.458394",CONTRACT_MASTER,VERIFIED,ASK: EMAIL,Location inherited from contract master (SL 80)
11159,Saga Spa for Men Per Person Company LLC,Saga Spa ~ Muweilah,,044,1136/26,80,Sharjah,Sharjah,Muwaileh,Muweilah,,,,,100248811000003,,25.307659,55.458394,"https://www.google.com/maps?q=25.307659,55.458394",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE,Location inherited from contract master (SL 80)
11161,HEIRS OF FARAJ AMRALLA ABDULLA ABDULRAHIM,FARAJ BLDG 3,,0201,,,Sharjah,Sharjah,Al Nahda,Al Nahda - 2,,,,,104037256500003,,25.301355,55.37487,"https://www.google.com/maps?q=25.301355,55.374870",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11162,MATRIX PACKING MATERIALS MANUFACTURING LLC,,,049,,,,,,INDUS AREA,,,,,100282144300003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11163,ALSERKAL GROUP,,,,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11164,INTERNATIONAL MODERN HOSPITAL,IMH,,050,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11165,Design Mode Interiors LLC,SHJ Police HQ,,051,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11166,AL SHAMS MEDICAL CENTRE LLC,,,052,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11167,Villa No. 4A,,,,,,Sharjah,Sharjah,Al Jazzat,Al Jazzat,,,,,,,25.363352,55.427047,"https://www.google.com/maps?q=25.363352,55.427047",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11168,FOURWINDS COMPANY,ADIL BOUNIF,,053,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11169,AL KHIBRAH DOMESTIC WORKERS SERVICES CENTER  LLC,TADBEER,,054,,,,,,,,,,0581034963,100045237300003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: ADDRESS; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11171,POWER MAX TRADING LLC,,,,,,Sharjah,Sharjah,Industrial Area 15,"M-Floor,Dream City Discount Centre Building, Industrial Area 15",,pmax@pm-ax.com,,+97165340294,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11172,WINNOW SOLUTIONS MEA FZ-LLC,,,057,,,Dubai,Dubai,,"Makateb 2, Sheikh Mohammed bin Zayed Road, Dubai production city",73030,,,,100468357700003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11173,Al Suma Electric and Switch Gear,,,058,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11174,BERG AND SCHMIDT MIDDLE EAST TRADING L.L.C,,,,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11175,INAYA FACILITIES MANAGEMENT SERVICES L.L.C,INAYA,,060,,,Dubai,Dubai,,"Nakheel Asset Management Building, The Gardens, Jebel Ali",,,,,104484589700003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11176,Zenith Concepts Interior Decorating Co. LLC,,,061,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11177,AMOUN PHARMACEUTICAL CO.S.A.E,,,1324,,,Dubai,Dubai,,"FLAT:3007, BUILDING NO: 64, DUBAI HEALTH CARE CITY, OUD METHA",,emad.aly@hotmail.com,0557439334,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11178,Landmark Retail Investment Co LLC,Emax & others,,064,,,Dubai,Dubai,,"Landndmark Tower, Al Marsa, Dubai Marina",120010,,,,100260641400003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,Emirate-level coordinates only — capture exact pin on first visit
11179,SEVEN OAKS NURSERY,,,065,,,Sharjah,Sharjah,Al Khan,ALKHAN,61835,,,,100336629900003,,25.314391,55.375385,"https://www.google.com/maps?q=25.314391,55.375385",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11181,Al Barq real estate,,,,,,,,,,,,0529298599,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11182,Leaders real estate,Nizam,,,1057/25,21,Sharjah,Sharjah,Sharjah,,,,,0559997765,,,25.371052,55.392017,"https://www.google.com/maps?q=25.371052,55.392017",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: ADDRESS; ASK: TRN,Location inherited from contract master (SL 21)
11183,Home Book Property Managment,,,,,,Dubai,Dubai,,Mirdif,,,,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11184,AL WARDA AL SAFRA SUPERMARKET LLC - SOLE PROPRIETORSHIP,,,779248,,,Sharjah,Sharjah,Industrial Area,"AL WAHDA ROAD, Industrial Area",,,150288,0506995152,,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11185,MAMZAR AL NAHDA GROCERY LLC,,,,,,Sharjah,Sharjah,Industrial Area,INDUSTRIAL AREA,,,,0506995152,,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11186,AL FANNAN PRINTING PRESS L.L.C,,,1093/23,,,Sharjah,Sharjah,Industrial Area 15,Street No 23 Industrial Area 15,24850,,0505879911,,100350476600003,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11187,SEVEN OAKS OWNER VILLA,,,,,,,,,,,,,,100336629900003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11188,GOLDEN LINE PRINTING PRESS L.L.C,,,,,,,,,,35948,golden_p@emirates.net.ae,065348883,0505478760,100218002200003,,,,,NONE,NO_LOCATION,ASK: ADDRESS; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11189,Seven emirates cafeteria,,,,1113/26,58,Sharjah,Sharjah,Industrial Area 01,Industrial area 01 near sedana signal,,,065320123,,,,25.319013,55.395891,"https://www.google.com/maps?q=25.319013,55.395891",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 58)
11191,Wesgreen International School (GEMS EDUCATION),,,98654,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11192,AL FALAK RESTAURANT,,,,,,Sharjah,Sharjah,Industrial Area 2,IND Area - 2,,,+971565485486,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11193,CALICUT NOTEBOOK RESTAURANT,,,0209,,,Sharjah,Sharjah,Al Nabba,AL NABBA,72053,,0505618338,,100443009400003,,25.364588,55.396482,"https://www.google.com/maps?q=25.364588,55.396482",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11194,GCC EXCHANGE,,GCC EXCHANGE GROUP,", , 0309",,,,,,"Al Riga, Diera",7893+42,procurement@gccexchange.com,0562187442,,100025628700003,,,,,NONE,NO_LOCATION,ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11195,LULU HYPERMARKET AL DHAID MALL,Lulu Accommodation Al Dhaid,,,,,Sharjah,Sharjah,Al Dhaid,Al Dhaid,,Abdulkaderpm@ae.lulumea.com,0097143250400,00971504334248,,,25.27092,55.876824,"https://www.google.com/maps?q=25.270920,55.876824",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11196,AL TANOOR AL AFGHANI RESTAURANT - SOLE PROPRIETORSHIP L.L.C,,,,,,Sharjah,Sharjah,Abu Shagara,Abushagara,,,,,,,25.336248,55.395397,"https://www.google.com/maps?q=25.336248,55.395397",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11197,Ocean Oilfield Services (FZE),,OCEAN OILFIELD GROUP,,,,,,,Saif Zone,8574,acc@oceanoil.ae,+97165572040,,100072077900003,,,,,NONE,NO_LOCATION,ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11198,Jereesh Restaurant,,,,,,Sharjah,Sharjah,Industrial Area 17,INDUSTRIAL AREA 17,,,0507722884,,,,25.286894,55.448507,"https://www.google.com/maps?q=25.286894,55.448507",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11199,AL FEHAIDI PHARMACY LLC,,,17812,,,,,,AL FAHIDI ST,,,043535335,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11211,Taza Restaurant,Taza,,089,,,Sharjah,Sharjah,Al Nahda,"Sahara Center , Al Nahda",,,,,,,25.301355,55.37487,"https://www.google.com/maps?q=25.301355,55.374870",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11212,VILLA-1 AL NEKHAILAT,,,,,,,,,HEERA SUBURB,,,0555140323,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11213,QATR AL NADA LADIES SALOON,,,,1221/26,164,Sharjah,Sharjah,Halwan,HALWAN,,,0502544447,,,,25.345116,55.429193,"https://www.google.com/maps?q=25.345116,55.429193",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 164)
11214,FRIDAY CORNER  CAFETERIA,,,,1117/26,62,Sharjah,Sharjah,Muwaileh,MUWAILAH,,,,,,,25.296965,55.436972,"https://www.google.com/maps?q=25.296965,55.436972",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Location inherited from contract master (SL 62)
11215,THE WHITE SPOT BEAUTY CENTER,,,,,,Sharjah,Sharjah,Muwaileh,MUWAILAH,43396,,0508923000,0568798744,,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
